#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
I	1	230218	28426	220905	95.9547	4.42493	28.5	51.8
II	1	813184	104338	785110	96.5476	4.60176	28.7	58.1
III	1	316620	40247	300264	94.8342	4.55532	28.6	56.5
IV	1	1531933	202713	1481533	96.71	4.74746	28.8	55.4
IX	1	439888	59214	425191	96.6589	4.82784	28.6	56
V	1	576874	78998	561728	97.3745	4.91256	28.7	57.3
VI	1	270161	34600	260819	96.5421	4.59245	28.6	56.5
VII	1	1090940	141856	1053433	96.562	4.66339	28.8	57.5
VIII	1	562643	76365	545575	96.9665	4.867	28.6	54.6
X	1	745751	98692	723148	96.9691	4.74583	28.7	56.2
XI	1	666816	88885	649647	97.4252	4.78191	28.7	59
XII	1	1078177	250680	1033162	95.8249	8.33338	28.3	35.8
XIII	1	924431	121866	895844	96.9076	4.72862	28.7	58.1
XIV	1	784333	105121	763272	97.3148	4.80741	28.7	57.2
XV	1	1091291	143104	1057348	96.8896	4.7048	28.7	57.2
XVI	1	948066	123897	918494	96.8808	4.68848	28.8	57
